family,family_size,action,old_finish,old_handle,new_finish,new_handle
TPK_T:edwardian bath 18'' double towel bar - plain backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-double-towel-bar-plain-backplate-ed7bsnd-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-plain-backplate-ed7orbd-oil-rubbed-bronze
TPK_T:edwardian bath 18'' double towel bar - ribbon backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-double-towel-bar-ribbon-backplate-ed7bsne-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-ribbon-backplate-ed7orbe-oil-rubbed-bronze
TPK_T:edwardian bath 18'' double towel bar - rope backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-double-towel-bar-rope-backplate-ed7bsnf-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-rope-backplate-ed7orbf-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - beaded backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-single-towel-bar-beaded-backplate-ed6bsna-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-beaded-backplate-ed6orba-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - hex backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-single-towel-bar-hex-backplate-ed6bsnb-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-hex-backplate-ed6orbb-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - oval backplate,5,RETAG,Polished Chrome,edwardian-bath-18-single-towel-bar-oval-backplate-ed6pcc-polished-chrome,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-oval-backplate-ed6orbc-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - plain backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-plain-backplate-ed6orbd-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-plain-backplate-ed6orbd-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - ribbon backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-ribbon-backplate-ed6orbe-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-ribbon-backplate-ed6orbe-oil-rubbed-bronze
TPK_T:edwardian bath 18'' single towel bar - rope backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-18-single-towel-bar-rope-backplate-ed6bsnf-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-18-single-towel-bar-rope-backplate-ed6orbf-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - beaded backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-double-towel-bar-beaded-backplate-ed9bsna-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-beaded-backplate-ed9orba-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - hex backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-double-towel-bar-hex-backplate-ed9bsnb-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-hex-backplate-ed9orbb-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - oval backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-double-towel-bar-oval-backplate-ed9bsnc-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-oval-backplate-ed9orbc-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - plain backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-double-towel-bar-plain-backplate-ed9bsnd-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-plain-backplate-ed9orbd-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - ribbon backplate,5,RETAG,Polished Chrome,edwardian-bath-24-double-towel-bar-ribbon-backplate-ed9pce-polished-chrome,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-ribbon-backplate-ed9orbe-oil-rubbed-bronze
TPK_T:edwardian bath 24'' double towel bar - rope backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-rope-backplate-ed9orbf-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-24-double-towel-bar-rope-backplate-ed9orbf-oil-rubbed-bronze
